tconst,Title,Movie,Show,Season,Episode,imgCount,iPhone,iPad,iMac,MacBook,macOS,AirPods,Apple Watch,Page,averageRating,numVotes,startYear
tt9071808,Found,0,1,1,12,5,0,0,0,1,0,0,0,1,6.8,1619,2023
tt9071808,Found,0,1,1,12,16,1,0,0,0,0,0,0,1,6.8,1619,2023
tt9071808,Found,0,1,1,12,9,0,1,0,0,0,0,0,1,6.8,1619,2023
tt9071808,Found,0,1,1,11,6,1,0,0,0,0,0,0,3,6.8,1619,2023
tt9071808,Found,0,1,1,11,5,0,1,0,0,0,0,0,3,6.8,1619,2023
tt9071808,Found,0,1,1,10,19,0,0,0,1,0,0,0,5,6.8,1619,2023
tt9071808,Found,0,1,1,8,64,0,0,0,1,0,0,0,8,6.8,1619,2023
tt9071808,Found,0,1,1,8,1,1,0,0,0,0,0,0,8,6.8,1619,2023
tt9071808,Found,0,1,1,7,1,1,0,0,0,0,0,0,10,6.8,1619,2023
tt9071808,Found,0,1,1,7,12,0,1,0,0,0,0,0,10,6.8,1619,2023
tt9071808,Found,0,1,1,6,1,0,0,0,0,0,0,1,11,6.8,1619,2023
tt9071808,Found,0,1,1,6,8,1,0,0,0,0,0,0,11,6.8,1619,2023
tt9071808,Found,0,1,1,6,6,0,1,0,0,0,0,0,11,6.8,1619,2023
tt9071808,Found,0,1,1,5,9,0,0,0,1,0,0,0,13,6.8,1619,2023
tt9071808,Found,0,1,1,5,15,1,0,0,0,0,0,0,13,6.8,1619,2023
tt9071808,Found,0,1,1,4,11,0,0,0,1,0,0,0,14,6.8,1619,2023
tt9071808,Found,0,1,1,4,2,1,0,0,0,0,0,0,14,6.8,1619,2023
tt9071808,Found,0,1,1,4,6,0,1,0,0,0,0,0,14,6.8,1619,2023
tt9071808,Found,0,1,1,4,2,0,0,0,0,1,0,0,15,6.8,1619,2023
tt9071808,Found,0,1,1,3,1,0,0,0,0,0,0,1,18,6.8,1619,2023
tt9071808,Found,0,1,1,3,2,0,0,0,1,0,0,0,19,6.8,1619,2023
tt9071808,Found,0,1,1,3,3,1,0,0,0,0,0,0,19,6.8,1619,2023
tt9071808,Found,0,1,1,3,12,0,1,0,0,0,0,0,19,6.8,1619,2023
tt9071808,Found,0,1,1,2,12,0,0,0,0,0,0,1,21,6.8,1619,2023
tt9071808,Found,0,1,1,2,12,0,0,0,1,0,0,0,21,6.8,1619,2023
tt9071808,Found,0,1,1,2,28,0,1,0,0,0,0,0,21,6.8,1619,2023
tt9071808,Found,0,1,1,2,8,0,1,0,1,0,0,0,21,6.8,1619,2023
tt9071808,Found,0,1,1,1,2,0,0,0,0,0,0,1,24,6.8,1619,2023
tt9071808,Found,0,1,1,1,2,0,0,0,0,0,0,1,24,6.8,1619,2023
tt9071808,Found,0,1,1,1,6,0,0,0,0,0,0,0,24,6.8,1619,2023
tt9071808,Found,0,1,1,1,2,0,1,0,0,0,0,0,24,6.8,1619,2023
tt9071808,Found,0,1,1,1,14,0,0,0,1,0,0,0,24,6.8,1619,2023
tt9071808,Found,0,1,1,1,4,1,0,0,0,0,0,0,24,6.8,1619,2023
tt9071808,Found,0,1,1,1,1,1,0,0,0,0,0,0,24,6.8,1619,2023
tt9071808,Found,0,1,1,1,3,0,1,0,0,0,0,0,24,6.8,1619,2023
tt9071808,Found,0,1,1,1,8,0,1,0,0,0,0,0,24,6.8,1619,2023
tt9071808,Found,0,1,1,1,1,0,1,0,0,0,0,0,24,6.8,1619,2023
tt2802850,Fargo,0,1,5,9,2,0,0,0,1,0,0,0,1,8.9,390987,2014
tt2802850,Fargo,0,1,1,9,31,0,0,0,1,0,0,0,7,8.9,390987,2014
tt2802850,Fargo,0,1,1,9,1,1,0,0,0,0,0,0,7,8.9,390987,2014
tt2802850,Fargo,0,1,1,9,11,0,1,0,0,0,0,0,7,8.9,390987,2014
tt13623608,The Curse,0,1,1,9,4,0,0,0,0,0,0,1,1,9,57,2023
tt13623608,The Curse,0,1,1,9,42,0,0,0,1,0,0,0,1,9,57,2023
tt13623608,The Curse,0,1,1,9,2,1,0,0,0,0,0,0,1,9,57,2023
tt13623608,The Curse,0,1,1,9,1,0,1,0,0,0,0,0,1,9,57,2023
tt13623608,The Curse,0,1,1,9,20,0,0,1,0,0,0,0,1,9,57,2023
tt13623608,The Curse,0,1,1,8,27,0,0,1,0,0,0,0,1,9,57,2023
tt13623608,The Curse,0,1,1,5,2,1,0,0,0,0,0,0,4,9,57,2023
tt13623608,The Curse,0,1,1,5,1,0,0,1,0,0,0,0,4,9,57,2023
tt13623608,The Curse,0,1,1,4,67,0,0,1,0,0,0,0,5,9,57,2023
tt13623608,The Curse,0,1,1,4,8,0,0,0,0,0,0,1,5,9,57,2023
tt13623608,The Curse,0,1,1,4,11,0,0,1,0,0,0,0,5,9,57,2023
tt13623608,The Curse,0,1,1,3,55,0,0,0,1,0,0,0,8,9,57,2023
tt13623608,The Curse,0,1,1,3,39,0,0,1,0,0,0,0,8,9,57,2023
tt13623608,The Curse,0,1,1,1,39,0,0,0,1,0,0,0,10,9,57,2023
tt13623608,The Curse,0,1,1,1,21,0,0,1,0,0,0,0,10,9,57,2023
tt5022702,Hush,0,1,2,4,4,0,0,0,1,0,0,0,2,6.6,148940,2016
tt5022702,Hush,0,1,2,4,1,0,0,1,0,0,0,0,2,6.6,148940,2016
tt5022702,Hush,0,1,2,1,1,0,1,0,0,0,0,0,4,6.6,148940,2016
tt11212198,Rap Sh!t,0,1,2,8,6,1,0,0,0,0,0,0,2,6.6,1624,2022
tt11212198,Rap Sh!t,0,1,2,7,3,0,0,1,0,0,0,0,3,6.6,1624,2022
tt11212198,Rap Sh!t,0,1,2,5,2,1,0,0,0,0,0,0,6,6.6,1624,2022
tt11212198,Rap Sh!t,0,1,2,5,1,0,0,0,0,0,0,0,6,6.6,1624,2022
tt11212198,Rap Sh!t,0,1,2,4,2,1,0,0,0,0,0,0,8,6.6,1624,2022
tt11212198,Rap Sh!t,0,1,2,3,1,0,0,0,0,0,0,0,10,6.6,1624,2022
tt11212198,Rap Sh!t,0,1,2,3,1,0,0,0,0,0,0,0,10,6.6,1624,2022
tt11212198,Rap Sh!t,0,1,2,3,19,0,0,0,1,0,0,0,10,6.6,1624,2022
tt11212198,Rap Sh!t,0,1,2,3,8,1,0,0,0,0,0,0,10,6.6,1624,2022
tt11212198,Rap Sh!t,0,1,2,2,4,0,0,0,1,0,0,0,11,6.6,1624,2022
tt11212198,Rap Sh!t,0,1,2,2,3,0,0,1,0,0,0,0,11,6.6,1624,2022
tt5875444,Slow Horses,0,1,3,4,5,1,0,0,0,0,0,0,2,7.9,47180,2022
